id,student_id,group_id,year
1,07221342681,10,2020
2,04261775905,7,2020
3,05212300377,10,2020
4,11211806011,10,2020
5,04212648395,9,2022
6,05281627393,2,2022
7,04261508170,6,2020
8,04231393908,4,2020
9,09262005893,10,2021
10,05212300377,5,2021
11,10213115510,5,2020
12,04231393908,6,2022
13,08251284497,9,2020
14,07260448962,5,2022
15,10232370640,8,2020
16,07241285995,8,2022
17,07221342681,3,2020
18,06232590568,4,2021
19,07290195690,9,2021
20,09322824176,6,2022
21,06241475715,1,2021
22,03310293562,8,2021
23,05281405629,2,2022
24,05261869962,2,2020
25,06231097295,7,2021
26,05212300377,1,2020
27,07241285995,4,2022
28,10260392766,5,2020
29,11232253685,10,2022
30,04242800125,9,2020
31,06270447347,5,2022
32,08260358507,2,2020
33,05212699053,6,2022
34,06311888610,10,2022
35,07282755468,5,2022
36,05212699053,1,2021
37,06300933020,3,2022
38,07221342681,2,2020
39,08260358507,8,2020
40,09221846011,6,2020
41,05292308540,7,2020
42,09220504789,7,2022
43,10260392766,10,2022
44,09220504789,1,2020
45,07301892316,4,2021
46,03320963792,4,2020
47,10322911043,1,2022
48,07222323302,4,2020
49,05281405629,10,2020
50,08291481782,7,2021
51,09322824176,3,2021
52,05282707034,5,2020
53,06311888610,2,2020
54,07260448962,7,2021
55,08211752824,1,2022
56,05281627393,7,2022
57,11273141303,4,2021
58,09252078537,6,2022
59,05212300377,4,2021
60,08291481782,4,2021
61,08260358507,1,2020
62,09221846011,3,2022
63,05282707034,2,2020
64,05212300377,6,2022
65,07290195690,1,2022
66,05292308540,10,2021
67,08270360039,8,2020
68,10260392766,1,2020
69,10262745166,1,2020
70,08260358507,5,2020
71,04272183799,7,2022
72,07282755468,1,2021
73,09270999630,3,2022
74,05261773931,2,2022
75,11301336642,4,2020
76,10321722051,9,2020
77,04271780546,8,2020
78,06272275157,2,2021
79,05292308540,6,2022
80,10322911043,3,2020
81,03320963792,9,2022
82,06232590568,9,2022
83,11271961536,7,2022
84,11272812374,1,2021
85,08281790951,6,2020
86,08322041572,1,2020
87,05261773931,5,2021
88,04212648395,5,2022
89,07222323302,5,2022
90,07290195690,5,2022
91,06232590568,6,2020
92,08221313635,10,2022
93,06231097295,5,2021
94,05281627393,7,2020
95,11271961536,6,2022
96,07301892316,5,2022
97,11251926193,5,2020
98,05282707034,8,2021
99,08312306681,8,2022
100,08260358507,5,2021
101,06222672669,9,2022
102,05301234017,5,2022
103,09271736962,4,2022
104,07282755468,9,2020
105,05232328496,8,2020
106,09271736962,1,2021
107,09260931787,10,2021
108,08230219797,2,2021
109,06231097295,3,2021
110,04261508170,5,2021
111,06272275157,1,2020
112,06291908151,4,2021
113,07242671919,4,2021
114,11272812374,2,2022
115,04231393908,5,2020
116,09252078537,4,2020
117,10232370640,6,2022
118,07231997820,10,2021
